Provincias con mayor número de pernoctaciones;Establecimientos y personal empleado (plazas);Periodo;Total
02 Albacete;Número de plazas estimadas;2018M05;4.730
02 Albacete;Número de plazas estimadas;2018M04;4.760
02 Albacete;Número de plazas estimadas;2018M03;4.504
02 Albacete;Número de plazas estimadas;2018M02;4.144
02 Albacete;Número de plazas estimadas;2018M01;4.175
02 Albacete;Número de plazas estimadas;2017M12;3.971
02 Albacete;Número de plazas estimadas;2017M11;4.090
02 Albacete;Número de plazas estimadas;2017M10;3.952
02 Albacete;Número de plazas estimadas;2017M09;4.041
02 Albacete;Número de plazas estimadas;2017M08;4.171
02 Albacete;Número de plazas estimadas;2017M07;4.285
02 Albacete;Número de plazas estimadas;2017M06;4.248
02 Albacete;Número de plazas estimadas;2017M05;4.348
02 Albacete;Número de plazas estimadas;2017M04;4.387
02 Albacete;Número de plazas estimadas;2017M03;4.333
02 Albacete;Número de plazas estimadas;2017M02;4.349
02 Albacete;Número de plazas estimadas;2017M01;4.253
02 Albacete;Número de plazas estimadas;2016M12;4.194
02 Albacete;Número de plazas estimadas;2016M11;4.164
02 Albacete;Número de plazas estimadas;2016M10;4.063
02 Albacete;Número de plazas estimadas;2016M09;3.949
02 Albacete;Número de plazas estimadas;2016M08;4.025
02 Albacete;Número de plazas estimadas;2016M07;3.838
02 Albacete;Número de plazas estimadas;2016M06;3.936
02 Albacete;Número de plazas estimadas;2016M05;3.977
02 Albacete;Número de plazas estimadas;2016M04;3.983
02 Albacete;Número de plazas estimadas;2016M03;4.000
02 Albacete;Número de plazas estimadas;2016M02;3.730
02 Albacete;Número de plazas estimadas;2016M01;3.777
02 Albacete;Número de plazas estimadas;2015M12;4.059
02 Albacete;Número de plazas estimadas;2015M11;4.034
02 Albacete;Número de plazas estimadas;2015M10;3.800
02 Albacete;Número de plazas estimadas;2015M09;3.878
02 Albacete;Número de plazas estimadas;2015M08;3.730
02 Albacete;Número de plazas estimadas;2015M07;3.910
02 Albacete;Número de plazas estimadas;2015M06;3.734
02 Albacete;Número de plazas estimadas;2015M05;3.806
02 Albacete;Número de plazas estimadas;2015M04;3.869
02 Albacete;Número de plazas estimadas;2015M03;3.761
02 Albacete;Número de plazas estimadas;2015M02;3.664
02 Albacete;Número de plazas estimadas;2015M01;3.687
02 Albacete;Número de plazas estimadas;2014M12;3.624
02 Albacete;Número de plazas estimadas;2014M11;3.493
02 Albacete;Número de plazas estimadas;2014M10;3.594
02 Albacete;Número de plazas estimadas;2014M09;3.625
02 Albacete;Número de plazas estimadas;2014M08;3.701
02 Albacete;Número de plazas estimadas;2014M07;3.760
02 Albacete;Número de plazas estimadas;2014M06;3.752
02 Albacete;Número de plazas estimadas;2014M05;3.700
02 Albacete;Número de plazas estimadas;2014M04;3.548
02 Albacete;Número de plazas estimadas;2014M03;3.561
02 Albacete;Número de plazas estimadas;2014M02;3.736
02 Albacete;Número de plazas estimadas;2014M01;3.700
02 Albacete;Número de plazas estimadas;2013M12;3.467
02 Albacete;Número de plazas estimadas;2013M11;3.532
02 Albacete;Número de plazas estimadas;2013M10;3.388
02 Albacete;Número de plazas estimadas;2013M09;3.423
02 Albacete;Número de plazas estimadas;2013M08;3.408
02 Albacete;Número de plazas estimadas;2013M07;3.481
02 Albacete;Número de plazas estimadas;2013M06;3.552
02 Albacete;Número de plazas estimadas;2013M05;3.523
02 Albacete;Número de plazas estimadas;2013M04;3.521
02 Albacete;Número de plazas estimadas;2013M03;3.526
02 Albacete;Número de plazas estimadas;2013M02;3.565
02 Albacete;Número de plazas estimadas;2013M01;3.484
02 Albacete;Número de plazas estimadas;2012M12;4.001
02 Albacete;Número de plazas estimadas;2012M11;4.036
02 Albacete;Número de plazas estimadas;2012M10;3.992
02 Albacete;Número de plazas estimadas;2012M09;3.846
02 Albacete;Número de plazas estimadas;2012M08;4.067
02 Albacete;Número de plazas estimadas;2012M07;3.974
