Provincias con mayor número de pernoctaciones;Viajeros y pernoctaciones;Residencia;Periodo;Total
02 Albacete;Viajero;Residentes en España;2006M05;1.298
02 Albacete;Viajero;Residentes en España;2006M04;4.549
02 Albacete;Viajero;Residentes en España;2006M03;2.347
02 Albacete;Viajero;Residentes en España;2006M02;1.880
02 Albacete;Viajero;Residentes en España;2006M01;2.159
02 Albacete;Viajero;Residentes en España;2005M12;4.101
02 Albacete;Viajero;Residentes en España;2005M11;2.092
02 Albacete;Viajero;Residentes en España;2005M10;2.472
02 Albacete;Viajero;Residentes en España;2005M09;1.805
02 Albacete;Viajero;Residentes en España;2005M08;3.136
02 Albacete;Viajero;Residentes en España;2005M07;2.035
02 Albacete;Viajero;Residentes en España;2005M06;1.848
02 Albacete;Viajero;Residentes en España;2005M05;1.416
02 Albacete;Viajero;Residentes en España;2005M04;2.477
02 Albacete;Viajero;Residentes en España;2005M03;2.686
02 Albacete;Viajero;Residentes en España;2005M02;1.879
02 Albacete;Viajero;Residentes en España;2005M01;1.035
02 Albacete;Viajero;Residentes en el Extranjero;2026M06;126
02 Albacete;Viajero;Residentes en el Extranjero;2026M05;142
02 Albacete;Viajero;Residentes en el Extranjero;2026M04;270
02 Albacete;Viajero;Residentes en el Extranjero;2026M03;80
02 Albacete;Viajero;Residentes en el Extranjero;2026M02;65
02 Albacete;Viajero;Residentes en el Extranjero;2026M01;205
02 Albacete;Viajero;Residentes en el Extranjero;2025M12;381
02 Albacete;Viajero;Residentes en el Extranjero;2025M11;150
02 Albacete;Viajero;Residentes en el Extranjero;2025M10;111
02 Albacete;Viajero;Residentes en el Extranjero;2025M09;126
02 Albacete;Viajero;Residentes en el Extranjero;2025M08;190
02 Albacete;Viajero;Residentes en el Extranjero;2025M07;116
02 Albacete;Viajero;Residentes en el Extranjero;2025M06;209
02 Albacete;Viajero;Residentes en el Extranjero;2025M05;212
02 Albacete;Viajero;Residentes en el Extranjero;2025M04;48
02 Albacete;Viajero;Residentes en el Extranjero;2025M03;154
02 Albacete;Viajero;Residentes en el Extranjero;2025M02;117
02 Albacete;Viajero;Residentes en el Extranjero;2025M01;92
02 Albacete;Viajero;Residentes en el Extranjero;2024M12;59
02 Albacete;Viajero;Residentes en el Extranjero;2024M11;60
02 Albacete;Viajero;Residentes en el Extranjero;2024M10;68
02 Albacete;Viajero;Residentes en el Extranjero;2024M09;51
02 Albacete;Viajero;Residentes en el Extranjero;2024M08;85
02 Albacete;Viajero;Residentes en el Extranjero;2024M07;152
02 Albacete;Viajero;Residentes en el Extranjero;2024M06;23
02 Albacete;Viajero;Residentes en el Extranjero;2024M05;186
02 Albacete;Viajero;Residentes en el Extranjero;2024M04;26
02 Albacete;Viajero;Residentes en el Extranjero;2024M03;33
02 Albacete;Viajero;Residentes en el Extranjero;2024M02;41
02 Albacete;Viajero;Residentes en el Extranjero;2024M01;86
02 Albacete;Viajero;Residentes en el Extranjero;2023M12;18
02 Albacete;Viajero;Residentes en el Extranjero;2023M11;81
02 Albacete;Viajero;Residentes en el Extranjero;2023M10;54
02 Albacete;Viajero;Residentes en el Extranjero;2023M09;37
02 Albacete;Viajero;Residentes en el Extranjero;2023M08;249
02 Albacete;Viajero;Residentes en el Extranjero;2023M07;132
02 Albacete;Viajero;Residentes en el Extranjero;2023M06;62
02 Albacete;Viajero;Residentes en el Extranjero;2023M05;107
02 Albacete;Viajero;Residentes en el Extranjero;2023M04;14
02 Albacete;Viajero;Residentes en el Extranjero;2023M03;12
02 Albacete;Viajero;Residentes en el Extranjero;2023M02;34
02 Albacete;Viajero;Residentes en el Extranjero;2023M01;21
02 Albacete;Viajero;Residentes en el Extranjero;2022M12;57
02 Albacete;Viajero;Residentes en el Extranjero;2022M11;52
02 Albacete;Viajero;Residentes en el Extranjero;2022M10;180
02 Albacete;Viajero;Residentes en el Extranjero;2022M09;197
02 Albacete;Viajero;Residentes en el Extranjero;2022M08;74
02 Albacete;Viajero;Residentes en el Extranjero;2022M07;107
02 Albacete;Viajero;Residentes en el Extranjero;2022M06;54
02 Albacete;Viajero;Residentes en el Extranjero;2022M05;72
02 Albacete;Viajero;Residentes en el Extranjero;2022M04;125
02 Albacete;Viajero;Residentes en el Extranjero;2022M03;0
02 Albacete;Viajero;Residentes en el Extranjero;2022M02;6
02 Albacete;Viajero;Residentes en el Extranjero;2022M01;2
02 Albacete;Viajero;Residentes en el Extranjero;2021M12;2
02 Albacete;Viajero;Residentes en el Extranjero;2021M11;42
02 Albacete;Viajero;Residentes en el Extranjero;2021M10;50
02 Albacete;Viajero;Residentes en el Extranjero;2021M09;16
02 Albacete;Viajero;Residentes en el Extranjero;2021M08;61
02 Albacete;Viajero;Residentes en el Extranjero;2021M07;2
02 Albacete;Viajero;Residentes en el Extranjero;2021M06;0
02 Albacete;Viajero;Residentes en el Extranjero;2021M05;20
02 Albacete;Viajero;Residentes en el Extranjero;2021M04;0
02 Albacete;Viajero;Residentes en el Extranjero;2021M03;41
02 Albacete;Viajero;Residentes en el Extranjero;2021M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2021M01;0
02 Albacete;Viajero;Residentes en el Extranjero;2020M12;0
02 Albacete;Viajero;Residentes en el Extranjero;2020M11;.
02 Albacete;Viajero;Residentes en el Extranjero;2020M10;7
02 Albacete;Viajero;Residentes en el Extranjero;2020M09;49
02 Albacete;Viajero;Residentes en el Extranjero;2020M08;122
02 Albacete;Viajero;Residentes en el Extranjero;2020M07;0
02 Albacete;Viajero;Residentes en el Extranjero;2020M06;0
02 Albacete;Viajero;Residentes en el Extranjero;2020M05;.
02 Albacete;Viajero;Residentes en el Extranjero;2020M04;.
02 Albacete;Viajero;Residentes en el Extranjero;2020M03;9
02 Albacete;Viajero;Residentes en el Extranjero;2020M02;4
02 Albacete;Viajero;Residentes en el Extranjero;2020M01;4
02 Albacete;Viajero;Residentes en el Extranjero;2019M12;55
02 Albacete;Viajero;Residentes en el Extranjero;2019M11;127
02 Albacete;Viajero;Residentes en el Extranjero;2019M10;183
02 Albacete;Viajero;Residentes en el Extranjero;2019M09;75
02 Albacete;Viajero;Residentes en el Extranjero;2019M08;182
02 Albacete;Viajero;Residentes en el Extranjero;2019M07;105
02 Albacete;Viajero;Residentes en el Extranjero;2019M06;180
02 Albacete;Viajero;Residentes en el Extranjero;2019M05;376
02 Albacete;Viajero;Residentes en el Extranjero;2019M04;85
02 Albacete;Viajero;Residentes en el Extranjero;2019M03;43
02 Albacete;Viajero;Residentes en el Extranjero;2019M02;12
02 Albacete;Viajero;Residentes en el Extranjero;2019M01;19
02 Albacete;Viajero;Residentes en el Extranjero;2018M12;19
02 Albacete;Viajero;Residentes en el Extranjero;2018M11;54
02 Albacete;Viajero;Residentes en el Extranjero;2018M10;261
02 Albacete;Viajero;Residentes en el Extranjero;2018M09;198
02 Albacete;Viajero;Residentes en el Extranjero;2018M08;188
02 Albacete;Viajero;Residentes en el Extranjero;2018M07;231
02 Albacete;Viajero;Residentes en el Extranjero;2018M06;154
02 Albacete;Viajero;Residentes en el Extranjero;2018M05;278
02 Albacete;Viajero;Residentes en el Extranjero;2018M04;187
02 Albacete;Viajero;Residentes en el Extranjero;2018M03;30
02 Albacete;Viajero;Residentes en el Extranjero;2018M02;36
02 Albacete;Viajero;Residentes en el Extranjero;2018M01;0
02 Albacete;Viajero;Residentes en el Extranjero;2017M12;1
02 Albacete;Viajero;Residentes en el Extranjero;2017M11;82
02 Albacete;Viajero;Residentes en el Extranjero;2017M10;14
02 Albacete;Viajero;Residentes en el Extranjero;2017M09;4
02 Albacete;Viajero;Residentes en el Extranjero;2017M08;157
02 Albacete;Viajero;Residentes en el Extranjero;2017M07;25
02 Albacete;Viajero;Residentes en el Extranjero;2017M06;27
02 Albacete;Viajero;Residentes en el Extranjero;2017M05;101
02 Albacete;Viajero;Residentes en el Extranjero;2017M04;6
02 Albacete;Viajero;Residentes en el Extranjero;2017M03;6
02 Albacete;Viajero;Residentes en el Extranjero;2017M02;13
02 Albacete;Viajero;Residentes en el Extranjero;2017M01;16
02 Albacete;Viajero;Residentes en el Extranjero;2016M12;33
02 Albacete;Viajero;Residentes en el Extranjero;2016M11;2
02 Albacete;Viajero;Residentes en el Extranjero;2016M10;4
02 Albacete;Viajero;Residentes en el Extranjero;2016M09;169
02 Albacete;Viajero;Residentes en el Extranjero;2016M08;34
02 Albacete;Viajero;Residentes en el Extranjero;2016M07;147
02 Albacete;Viajero;Residentes en el Extranjero;2016M06;57
02 Albacete;Viajero;Residentes en el Extranjero;2016M05;9
02 Albacete;Viajero;Residentes en el Extranjero;2016M04;5
02 Albacete;Viajero;Residentes en el Extranjero;2016M03;12
02 Albacete;Viajero;Residentes en el Extranjero;2016M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2016M01;5
02 Albacete;Viajero;Residentes en el Extranjero;2015M12;1
02 Albacete;Viajero;Residentes en el Extranjero;2015M11;3
02 Albacete;Viajero;Residentes en el Extranjero;2015M10;34
02 Albacete;Viajero;Residentes en el Extranjero;2015M09;8
02 Albacete;Viajero;Residentes en el Extranjero;2015M08;219
02 Albacete;Viajero;Residentes en el Extranjero;2015M07;2
02 Albacete;Viajero;Residentes en el Extranjero;2015M06;4
02 Albacete;Viajero;Residentes en el Extranjero;2015M05;2
02 Albacete;Viajero;Residentes en el Extranjero;2015M04;6
02 Albacete;Viajero;Residentes en el Extranjero;2015M03;5
02 Albacete;Viajero;Residentes en el Extranjero;2015M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2015M01;17
02 Albacete;Viajero;Residentes en el Extranjero;2014M12;2
02 Albacete;Viajero;Residentes en el Extranjero;2014M11;2
02 Albacete;Viajero;Residentes en el Extranjero;2014M10;8
02 Albacete;Viajero;Residentes en el Extranjero;2014M09;35
02 Albacete;Viajero;Residentes en el Extranjero;2014M08;34
02 Albacete;Viajero;Residentes en el Extranjero;2014M07;97
02 Albacete;Viajero;Residentes en el Extranjero;2014M06;2
02 Albacete;Viajero;Residentes en el Extranjero;2014M05;58
02 Albacete;Viajero;Residentes en el Extranjero;2014M04;0
02 Albacete;Viajero;Residentes en el Extranjero;2014M03;48
02 Albacete;Viajero;Residentes en el Extranjero;2014M02;8
02 Albacete;Viajero;Residentes en el Extranjero;2014M01;2
02 Albacete;Viajero;Residentes en el Extranjero;2013M12;0
02 Albacete;Viajero;Residentes en el Extranjero;2013M11;0
02 Albacete;Viajero;Residentes en el Extranjero;2013M10;2
02 Albacete;Viajero;Residentes en el Extranjero;2013M09;0
02 Albacete;Viajero;Residentes en el Extranjero;2013M08;34
02 Albacete;Viajero;Residentes en el Extranjero;2013M07;0
02 Albacete;Viajero;Residentes en el Extranjero;2013M06;0
02 Albacete;Viajero;Residentes en el Extranjero;2013M05;88
02 Albacete;Viajero;Residentes en el Extranjero;2013M04;51
02 Albacete;Viajero;Residentes en el Extranjero;2013M03;18
02 Albacete;Viajero;Residentes en el Extranjero;2013M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2013M01;17
02 Albacete;Viajero;Residentes en el Extranjero;2012M12;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M11;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M10;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M09;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M08;173
02 Albacete;Viajero;Residentes en el Extranjero;2012M07;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M06;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M05;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M04;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M03;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2012M01;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M12;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M11;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M10;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M09;37
02 Albacete;Viajero;Residentes en el Extranjero;2011M08;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M07;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M06;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M05;9
02 Albacete;Viajero;Residentes en el Extranjero;2011M04;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M03;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2011M01;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M12;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M11;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M10;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M09;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M08;19
02 Albacete;Viajero;Residentes en el Extranjero;2010M07;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M06;168
02 Albacete;Viajero;Residentes en el Extranjero;2010M05;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M04;193
02 Albacete;Viajero;Residentes en el Extranjero;2010M03;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M02;0
02 Albacete;Viajero;Residentes en el Extranjero;2010M01;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M12;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M11;9
02 Albacete;Viajero;Residentes en el Extranjero;2009M10;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M09;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M08;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M07;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M06;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M05;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M04;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M03;0
02 Albacete;Viajero;Residentes en el Extranjero;2009M02;132
02 Albacete;Viajero;Residentes en el Extranjero;2009M01;0
02 Albacete;Viajero;Residentes en el Extranjero;2008M12;0
